county,school_or_school_district,type,student_cases_new,student_cases_cumulative,staff_cases_new,staff_cases_cumulative
Clermont,Eastern Hills Educational Bldg,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clermont,Felicity-Franklin Local,Public District,3,11,5,20
Clermont,Goshen Local,Public District,No Cases Reported,38,No Cases Reported,25
Clermont,Heritage Hill Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clermont,Legend Oaks Classical Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clermont,Milford Christian Academy,Private School,No Cases Reported,2,No Cases Reported,2
Clermont,Milford Exempted Village,Public District,26,284,9,62
Clermont,New Richmond Exempted Village,Public District,2,48,2,32
Clermont,Ohio Valley Voices,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clermont,Ohio Valley Voices,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clermont,Royal Oak Christian,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clermont,Springvale Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clermont,St Andrew/St Elizabeth A Seton,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clermont,St Bernadette,Private School,No Cases Reported,15,No Cases Reported,No Cases Reported
Clermont,St Bernadette,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clermont,St Louis,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clermont,St Louis,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clermont,St Mark's Evangelical Lutheran,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clermont,St Mark's Evangelical Lutheran,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clermont,St Thomas More,Private School,No Cases Reported,4,No Cases Reported,No Cases Reported
Clermont,St Thomas More,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clermont,St Veronica,Private School,1,11,0,0
Clermont,St Veronica,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clermont,St Veronica,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clermont,U S Grant,Joint Vocational School District,No Cases Reported,8,No Cases Reported,No Cases Reported
Clermont,West Clermont Local,Public District,18,144,11,85
Clermont,Williamsburg Local,Public District,2,26,1,14
Cuyahoga,Agape Covenant Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Al Ihsan Islamic School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Archbishop Lyke-St Henry Campus,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Bella Academy of Excellence,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Benedictine,Private School,0,4,0,2
Cuyahoga,Birchwood,Private School,0,2,0,0
Cuyahoga,Birchwood,Preschool,0,1,0,0
Cuyahoga,Boniface School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Broadway Academy,Community School,0,0,0,2
Cuyahoga,Citizens Academy,Community School,0,0,1,1
Cuyahoga,Citizens Academy Southeast,Community School,0,1,0,1
Cuyahoga,Citizens Leadership Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Citizens Leadership Academy East,Community School,0,1,0,1
Cuyahoga,Cleveland Academy for Scholarship Technology and Leadership,Community School,0,0,0,2
Cuyahoga,Cleveland Arts and Social Sciences Academy,Community School,0,0,0,1
Cuyahoga,Cleveland Central Catholic,Private School,0,1,2,4
Cuyahoga,Cleveland Clinic Lerner School for Autism,Private School,0,4,0,11
Cuyahoga,Cleveland Clinic Lerner School for Autism,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Cleveland College Preparatory School,Community School,0,0,0,2
Cuyahoga,Cleveland Montessori,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Cleveland Montessori,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Cleveland Municipal,Public District,0,0,3,52
Cuyahoga,Cleveland Preparatory Academy,Community School,0,0,0,3
Cuyahoga,Constellation Schools: Eastside Arts Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Constellation Schools: Madison Community Elementary,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Constellation Schools: Old Brooklyn Community Elementary,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Constellation Schools: Old Brooklyn Community Middle,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Constellation Schools: Puritas Community Elementary,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Constellation Schools: Puritas Community Middle,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Constellation Schools: Stockyard Community Elementary,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Constellation Schools: Stockyard Community Middle,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Constellation Schools: Westpark Community Elementary,Community School,0,0,0,1
Cuyahoga,Constellation Schools: Westpark Community Middle,Community School,0,0,0,1
Cuyahoga,Constellation Schools: Westside Community School of the Arts,Community School,0,0,0,1
Cuyahoga,Cuyahoga County Board of DD,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,East Academy,Community School,0,1,0,2
Cuyahoga,East Preparatory Academy,Community School,0,0,0,2
Cuyahoga,Eleanor Gerson Sn,Private School,0,0,1,1
Cuyahoga,Eloe Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Frederick Douglass High School,Community School,0,0,0,1
Cuyahoga,Garden Christian Academy The,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,George V. Voinovich High School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Global Ambassadors Language Academy,Community School,0,0,0,1
Cuyahoga,Grace Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Harvard Avenue Performance Academy,Community School,0,3,0,1
Cuyahoga,Holy Cross Lutheran School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Holy Cross Lutheran School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Holy Name,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Hope Academy Northcoast,Community School,0,1,0,0
Cuyahoga,Hope Academy Northwest Campus,Community School,0,1,0,2
Cuyahoga,Horizon Science Acad Cleveland,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Horizon Science Academy-Cleveland Middle School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Horizon Science Academy-Denison Middle School,Community School,0,0,0,2
Cuyahoga,Intergenerational School  The,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Invictus High School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Lake Erie College Preparatory School,Community School,0,0,0,0
Cuyahoga,Lake Erie International High School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Lakeshore Intergenerational School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Lincoln Park Academy,Community School,0,0,0,2
Cuyahoga,Luther Memorial,Private School,0,1,0,1
Cuyahoga,Luther Memorial,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Luther Memorial,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Mary Queen of Peace School,Private School,0,0,0,3
Cuyahoga,Mary Queen of Peace School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Mary Queen of Peace School,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Menlo Park Academy,Community School,0,2,2,5
Cuyahoga,Metro Catholic Parish,Private School,0,4,0,1
Cuyahoga,Near West Intergenerational School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Northeast Ohio College Preparatory School,Community School,0,0,0,6
Cuyahoga,Ohio Connections Academy  Inc,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Old Brook High School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Orchard Park Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Our Lady Of Angels,Private School,0,0,0,2
Cuyahoga,Our Lady Of Angels,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Our Lady of Guadalupe Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Our Lady Of Mt Carmel Parish,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Our Lady Of Mt Carmel West,Private School,0,1,0,2
Cuyahoga,Promise Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Ramah Junior Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Regent High School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Saint Martin de Porres High School,Private School,0,3,0,2
Cuyahoga,Spring Valley Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Adalbert,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Adalbert,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Agatha-St Aloysius,Private School,0,0,0,4
Cuyahoga,St Aloysius Child Care Cleveland,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Francis,Private School,0,1,0,2
Cuyahoga,St Francis,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Francis,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Ignatius,Private School,0,2,0,0
Cuyahoga,St Ignatius High School,Private School,3,37,2,11
Cuyahoga,St Jerome,Private School,0,1,0,4
Cuyahoga,St Jerome,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St John Lutheran,Private School,0,2,0,0
Cuyahoga,St Joseph Academy,Private School,1,19,0,14
Cuyahoga,St Leo The Great,Private School,0,2,0,2
Cuyahoga,St Leo The Great,Preschool,0,0,0,1
Cuyahoga,St Mark,Private School,0,2,0,0
Cuyahoga,St Mark,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Mary Byzantine,Private School,0,0,0,2
Cuyahoga,St Mary Byzantine,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Mary Byzantine,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Rocco,Private School,0,2,0,1
Cuyahoga,St Rocco,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Stanislaus,Private School,1,1,0,0
Cuyahoga,St Thomas Aquinas,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Stepstone Academy,Community School,0,3,0,0
Cuyahoga,Sts. Noel and Edmund Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,The Bridge Avenue School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,The Fourth Day Institute for Autodidaction,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,The Garden Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,University of Cleveland Preparatory School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Urban Community,Private School,0,3,0,3
Cuyahoga,Urban Community,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Urban Community,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Villa Angela-St Joseph,Private School,0,13,0,3
Cuyahoga,Village Preparatory School Cliffs,Community School,0,0,0,1
Cuyahoga,Village Preparatory School Willard,Community School,0,0,0,4
Cuyahoga,Village Preparatory School Woodland Hills,Community School,0,0,0,4
Cuyahoga,West Park Academy,Community School,0,1,0,4
Cuyahoga,West Preparatory Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Wings Academy 1,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clinton,Blanchester Local,Public District,No Cases Reported,43,No Cases Reported,29
Clinton,Christian Legacy Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clinton,Clinton County Board of DD,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
